,cars,demands,labels,locations,megacluster,streetName,streetSide,clusterID
2221,0.894736842,0.052631579,B451108,"[443741.761, 4645678.185]",0,N DAMEN AVE,E,19
2222,2.611111111,0.5,B451109,"[443777.1732, 4645717.251]",0,W MONTROSE AVE,S,19
2223,4.681818182,0.909090909,B451110,"[443934.2039, 4645715.634]",0,W MONTROSE AVE,S,19
2224,2.5,0.55,B451111,"[444011.5708, 4645720.314]",0,W MONTROSE AVE,S,19
2225,2.869565217,0.695652174,B451112,"[444118.3089, 4645721.228]",0,W MONTROSE AVE,S,19
2226,3.941176471,0.882352941,B451113,"[444447.5235, 4645722.699]",0,W MONTROSE AVE,S,19
2227,1.166666667,0.208333333,B451146,"[443688.8308, 4645713.78]",0,W MONTROSE AVE,S,19
2228,4.833333333,0.3,B452201,"[444962.2911, 4644158.743]",0,N SOUTHPORT AVE,E,13
2229,5.033898305,0.559322034,B452202,"[444958.5914, 4644197.756]",0,N SOUTHPORT AVE,W,13
2230,8.96,0.88,B452204,"[444959.7661, 4644378.05]",0,N SOUTHPORT AVE,E,13
2231,10.0,1.037735849,B452206,"[444956.8763, 4644363.786]",0,N SOUTHPORT AVE,W,13
2232,4.215686275,0.392156863,B452208,"[444957.3608, 4644591.259]",0,N SOUTHPORT AVE,E,13
2233,2.367346939,0.346938776,B452209,"[444954.9156, 4644863.874]",0,N SOUTHPORT AVE,E,13
2234,2.142857143,0.224489796,B452210,"[444951.4829, 4644879.847]",0,N SOUTHPORT AVE,W,13
2235,4.243243243,0.675675676,B452211,"[444559.0809, 4644869.39]",0,N ASHLAND AVE,E,19
2236,3.525,0.65,B452213,"[444546.4005, 4644839.865]",0,N ASHLAND AVE,W,19
2237,2.03125,0.25,B452215,"[444569.0186, 4644141.588]",0,N ASHLAND AVE,E,13
2238,0.482758621,0.103448276,B453101,"[443742.3816, 4644871.84]",0,N DAMEN AVE,W,19
2239,1.206896552,0.413793103,B453102,"[443753.0802, 4644833.336]",0,N DAMEN AVE,E,19
2240,5.0,0.735294118,B453103,"[443815.8877, 4644765.104]",0,N LINCOLN AVE,W,19
2241,3.676470588,0.823529412,B453105,"[443871.165, 4644656.851]",0,N LINCOLN AVE,W,19
2242,1.088235294,0.117647059,B453106,"[443909.5693, 4644577.603]",0,N LINCOLN AVE,W,19
2243,1.763157895,0.342105263,B453107,"[443923.7942, 4644564.67]",0,N LINCOLN AVE,E,19
2244,1.805555556,0.361111111,B453108,"[443883.6051, 4644653.04]",0,N LINCOLN AVE,E,19
2245,3.076923077,0.743589744,B453109,"[443832.2428, 4644752.987]",0,N LINCOLN AVE,E,19
2246,1.486486486,0.216216216,B453110,"[443788.9243, 4644836.494]",0,N LINCOLN AVE,E,19
2247,1.178571429,0.357142857,B453126,"[443830.1069, 4644803.508]",0,W LARCHMONT AVE,S,19
2248,1.071428571,0.464285714,B453127,"[443815.3074, 4644810.979]",0,W LARCHMONT AVE,N,19
2249,6.0,1.5,B454101,"[444033.7905, 4644920.181]",0,W IRVING PARK RD,N,19
2250,1.178571429,0.25,B454103,"[443951.6542, 4644939.246]",0,N WOLCOTT AVE,E,19
2251,2.5,0.5,B454104,"[443944.2549, 4644939.196]",0,N WOLCOTT AVE,W,19
2252,8.806451613,1.322580645,B454105,"[443809.301, 4644918.177]",0,W IRVING PARK RD,N,19
2253,3.8,1.166666667,B454107,"[443692.8923, 4644916.21]",0,W IRVING PARK RD,N,19
2254,3.392857143,1.035714286,B454108,"[443488.1971, 4644916.169]",0,W IRVING PARK RD,N,19
2255,1.129032258,0.161290323,B454109,"[443378.1981, 4644896.819]",0,W IRVING PARK RD,S,19
2256,2.7,0.666666667,B454110,"[443498.6891, 4644897.304]",0,W IRVING PARK RD,S,19
2257,1.46875,0.28125,B454111,"[443607.7437, 4644898.598]",0,W IRVING PARK RD,S,19
2258,1.5,0.1875,B454112,"[443688.2205, 4644898.683]",0,W IRVING PARK RD,S,19
2259,4.264705882,0.735294118,B454113,"[443875.9966, 4644900.86]",0,W IRVING PARK RD,S,19
2260,1.5,0.357142857,B454115,"[443944.9421, 4644889.223]",0,N WOLCOTT AVE,W,19
2261,1.892857143,0.321428571,B454116,"[443952.5652, 4644887.165]",0,N WOLCOTT AVE,E,19
2262,7.875,1.71875,B454117,"[444077.22, 4644902.053]",0,W IRVING PARK RD,S,19
2263,0.84375,0.0625,B455101,"[443750.1381, 4644991.806]",0,N DAMEN AVE,E,19
2264,2.4,0.566666667,B455102,"[443750.5383, 4645039.102]",0,N DAMEN AVE,E,19
2265,2.78125,0.625,B455103,"[443749.6127, 4645082.23]",0,N DAMEN AVE,W,19
2266,5.131578947,0.815789474,B455104,"[443678.0349, 4645051.897]",0,N LINCOLN AVE,E,19
